Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funding-Date,Funding-Stage,Total-Funding,Maturity,Inc.-Compass,Hero
"Compose","","https://compose.im/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Spatial","Turns the space around you into a shared augmented workplace using VC. Remote users can collaborate & brainstorm as if they were in the same room","https://spatial.io/ ","undefined","","","","","","","","","$22.3","Not Complete","0","0"
"Range",""Operating System for work" that keeps you in sync with your team through regular check-ins, day planning sessions, "accomplishment logs' etc.","https://www.range.co/ ","undefined","","","","","","","","","$8.5","Not Complete","0","0"
"Tandem","Brings the ease of sitting huddled around the same computer to employees working from anywhere","https://tandem.chat/ ","undefined","","","","","","","","","$7.5","Not Complete","0","0"
"Motion","Provides real-time interventions, reminders, and analytic, preventing people from getting distracted on the web","https://www.inmotion.app/ ","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Focusmate","Virtual co-working which connects other professionals who have committed to being accountable for finishing their most important work","https://www.focusmate.com/ ","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Teemly","Virtual office connecting distributed teams: see what’s going on in the "office"; co-work "side by side"; grab a coffee with a colleague in the "coffee room" etc.","https://teemly.net/ ","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Remotion","Desktop app that shows your team’s selfies and availability so you can jump into quick video chats","https://www.remotion.com/ ","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Pragli","Virtual office for remote teams, enabling remote workers to dive into impromptu conversations with audio channels & direct conversations, walkie talkie style","https://pragli.com/ ","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Fuze","Unified communications platform that enables simplified business voice communications, flexible video conferencing, and always-on collaboration","https://www.fuze.com/#","undefined","","","","","","","","","$480.4","Not Complete","0","0"
"Dialpad","Business phone system that turns your conversations into something you can see and use, so you understand, remember, and learn from everything that’s said","https://www.dialpad.com/","undefined","","","","","","","","","$120.0","Not Complete","0","0"
"Chorus","Twist to videocalls: Making video calls milestone-based & trackable to assess sales performance","https://www.chorus.ai/","undefined","","","","","","","","","$55.3","Not Complete","0","0"
"Loom","A video messaging app that lets users record short videos, rather than type long emails or spend time in meetings, to get their ideas across","https://www.loom.com/","undefined","","","","","","","","","$44.8","Not Complete","0","0"
"StarLeaf","Enables seamless collaboration through intelligently engineered, reliable meeting room systems, superior video conferencing, and secure messaging","https://www.starleaf.com/","undefined","","","","","","","","","$40.0","Not Complete","0","0"
"Otter.ai","Capture, search and share meetings, lectures and live events","https://otter.ai/","undefined","","","","","","","","","$23.0","Not Complete","0","0"
"OwlLabs","A smart and visually appealing video conferencing camera (hardware+software)","https://www.owllabs.com/","undefined","","","","","","","","","$22.3","Not Complete","0","0"
"Around","Took video meetings and made them less intrusive, less clunky. Gives you a clear view of your teammates while making space for work","https://www.around.co/","undefined","","","","","","","","","$5.2","Not Complete","0","0"
"Fireflies.ai","Making video calls searchable; SaaS tool for automated notes from online meetings; Automatically record, transcribe and collaborate across your meetings","https://fireflies.ai/","undefined","","","","","","","","","$5.1","Not Complete","0","0"
"Krisp","Makes remote workers more professional allowing them to take calls from wherever they want without worrying about privacy and background noise","https://krisp.ai/","undefined","","","","","","","","","$3.5","Not Complete","0","0"
"Demodesk","Online meeting tool for inside sales and CS teams solving the screen sharing pain: no downloads, content shared on a virtual display, instant control sharing","https://demodesk.com/","undefined","","","","","","","","","$2.6","Not Complete","0","0"
"Grain","Record & share the best parts of your Zoom video calls. Take notes together. Create video highlights. Share clips anywhere (Twitter, DIscord, Notion, Slack etc.)","https://www.grain.co/","undefined","","","","","","","","","$4.0","Not Complete","0","0"
"Whereby","Collaboration tool for easy video meetings. No downloads, no logins","https://whereby.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"GitDuck","Code sharing and screen recorder software for developers to create videos that are linked to their code","https://gitduck.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Coscreen","Turns your second screen into your joint team desktop. Share windows via drag & drop, collaborate via mouse & keyboard, each user gets their own mouse pointer","https://www.coscreen.co/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"RemoteHQ","Work together in ways that go beyond video chat. Co-browse and co-edit any web app, share files, take notes, whiteboard, screen share, video chat, and more","https://www.remotehq.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"HappyScribe","Automatic transcription software; automatic subtitling tool; video & audio to text in minutes; available in + 119 languages and accents","https://www.happyscribe.co/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Standups","A not too dissimilar concept from Yac & Loom; SaaS for asynchronous video standups","https://standups.io/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"x.ai","Artificial intelligence driven personal assistant who schedules meetings for you","https://x.ai/","undefined","","","","","","","","","$44.3","Not Complete","0","0"
"Robin","Giving everyone the ability to understand, use, and advance their workplace. Space scheduling, desk management, wayfinding, and office analytics made easy","https://robinpowered.com/","undefined","","","","","","","","","$29.1","Not Complete","0","0"
"Mixmax","Allows you to send engaging emails with instant scheduling, free unlimited email tracking, polls, and surveys right in Gmail","https://mixmax.com/","undefined","","","","","","","","","$13.4","Not Complete","0","0"
"Clockwise","Transforms people’s days, turning what they have — 15 minutes to work here, 30 minutes there — into what they need: uninterrupted blocks of time to focus","https://www.getclockwise.com/","undefined","","","","","","","","","$13.4","Not Complete","0","0"
"Fellow","Employee-management software that makes meetings more effective by organizing notes, action items, and feedback.
","https://fellow.app/","undefined","","","","","","","","","$6.5","Not Complete","0","0"
"Woven","Upgrades your existing calendars with powerful and elegantly designed tools to help you use your time effectively without spending hours in your calendar","https://woven.com/","undefined","","","","","","","","","$4.8","Not Complete","0","0"
"Time is Ltd.","Analyses your company's calendars and makes suggestions on how to be more productive on a group basis & individual basis","http://www.timeisltd.com/","undefined","","","","","","","","","$3.3","Not Complete","0","0"
"Humble Dot","Saves managers time and hassle by keeping their team in sync: easily share priorities, wins, and blockers","https://humbledot.com/","undefined","","","","","","","","","$3.1","Not Complete","0","0"
"Zynq","Automatically picks the time and room for meetings. It works on top of Chrome and Google Calendar, so there's no need to change the calendar app","https://zynq.io/","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Calendly","Helps you schedule meetings without the back-and-forth emails","https://calendly.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Reclaim.ai","Maps your time to the priorities that matter to you, automatically generating an optimized calendar that takes back hours of your week for critical work","https://reclaim.ai/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Qordoba","(Slightly off-topic but not really) AI writing assistant for businesses, helping everyone at a company write with the same style, terminology, and brand voice","https://qordoba.com/","undefined","","","","","","","","","$21.5","Not Complete","0","0"
"Magic","24/7 SMS based on-demand personal assistant service.","https://getmagic.com/","undefined","","","","","","","","","$12.1","Not Complete","0","0"
"Double","Connects busy executives with experienced human assistants and great tech to save hours every day","https://withdouble.com/","undefined","","","","","","","","","$6.0","Not Complete","0","0"
"Memory","AI-powered time tracking and planning tools, coupled with a personal assistant for deep work, blocking notifications automatically","https://memory.ai/","undefined","","","","","","","","","$6.0","Not Complete","0","0"
"Invisible","Helps you scale essential routines / ops and dynamically prices work to get you what you need, when you need it","https://inv.tech/","undefined","","","","","","","","","$2.6","Not Complete","0","0"
"Base","SaaS platform built specifically to streamline the day-to-day responsibilities of executive assistants","https://basehq.com/","undefined","","","","","","","","","$2.6","Not Complete","0","0"
"Monaru","(Slightly off-topic but not really) A virtual assistant that helps people build deeper connections with the people they really care about","https://www.monaru.io/index.html","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Workfront","Enterprise Work Management solution that helps enterprise teams conquer the chaos of excessive email, redundant status meetings, and disconnected tools","https://www.workfront.com/","undefined","","","","","","","","","$375.0","Not Complete","0","0"
"Airtable","Cloud-based tool that blends a traditional spreadsheet with a database","https://airtable.com/","undefined","","","","","","","","","$170.0","Not Complete","0","0"
"Notion","all-in-one workplace, where teams can write notes, track projects, build spreadsheets and databases, and get organized","https://www.notion.so/","undefined","","","","","","","","","$60.0","Not Complete","0","0"
"Coda","Creates online documents and the utility of applications into a single new canvas","https://coda.io/welcome","undefined","","","","","","","","","$60.0","Not Complete","0","0"
"Guru","Uses browser extensions and Slack plugins to make sure the information that workers need to do their jobs "finds nds them wherever they need it"","https://www.getguru.com/","undefined","","","","","","","","","$40.7","Not Complete","0","0"
"Templafy","Assists enterprise employees in each stage of the document creation workflow, delivering productive and compliant ways of working in office applications","https://www.templafy.com/","undefined","","","","","","","","","$36.4","Not Complete","0","0"
"Bloomfire","Knowledge sharing platform that enables employees to quickly find the information they need to do their jobs","https://bloomfire.com/","undefined","","","","","","","","","$32.8","Not Complete","0","0"
"Onna","Data integration platform for organizations that connects to emerging apps, such as JIRA, Confluence, and Slack","https://onna.com/","undefined","","","","","","","","","$16.0","Not Complete","0","0"
"Slite","Where modern teams write and organize their content: meeting notes, processes, how to's, collaborative docs and more","https://slite.com/","undefined","","","","","","","","","$15.0","Not Complete","0","0"
"ChartHop","A management app that aims to modernize and automate a company's organizational chart, making the whole process more transparent.","https://www.charthop.com/","undefined","","","","","","","","","$5.0","Not Complete","0","0"
"Grid","Enables you to instantly turn any spreadsheet into a beautiful, interactive web document that can be securely shared online","https://www.grid.is/","undefined","","","","","","","","","$4.6","Not Complete","0","0"
"Clarisights","The "decision platform" for growth: realtime, interactive and contextual reporting for high performance marketing teams","https://www.clarisights.com/","undefined","","","","","","","","","$2.3","Not Complete","0","0"
"Slab","Knowledge hub for the modern workplace, helping teams share learning and documentation","https://slab.com/","undefined","","","","","","","","","$2.2","Not Complete","0","0"
"Journal","Gives individuals and groups a focused “space” to find, remember, and share all the information they need to have fun and do good work","https://usejournal.com/","undefined","","","","","","","","","$1.5","Not Complete","0","0"
"Sheetgo","No-code automation tool for office teams: create custom workflows to collect, manage and share data — all from a spreadsheet.","https://www.sheetgo.com/","undefined","","","","","","","","","$1.4","Not Complete","0","0"
"Actiondesk","Spreadsheet software that lets you import and refresh data from SQL, Stripe, Salesforce, Hubspot and more","https://www.actiondesk.io/","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Graphy","Data collaboration in a visual, fun and flexible way; a place for your team to create interactive dashboards, loaded with data from the apps you already use","https://graphyapp.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Anytype","Software that breaks down barriers between applications, gives back privacy and data ownership to users. Like Notion, but centred around privacy","https://anytype.io/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Roam Research","A note-taking tool for networked thought: as easy to use as a document; as powerful as a graph database. Helps you organize your research for the long haul","https://roamresearch.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Almanac","The workspace for your team's knowledge, to take notes, share docs, and stay organized","https://askalmanac.com/home","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Howspace","Allows you & your team to empower the whole business by collaborating on professional learning and organizational development initiatives","https://www.howspace.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Algolia",""Search-as-a-service" and full suite of APIs allowing teams to easily develop
tailored, fast search and discovery experiences that convert more","https://www.algolia.com/","undefined","","","","","","","","","$184.2","Not Complete","0","0"
"Forethought","AI powered products that proactively embed relevant information into employees' daily workflows. Using search to help Customer Support","https://www.forethought.ai/","undefined","","","","","","","","","$10.0","Not Complete","0","0"
"Happeo","Combines a digital workplace and collaboration platform with a social intranet","https://www.happeo.com/","undefined","","","","","","","","","$8.0","Not Complete","0","0"
"Workona","The work management platform for teams who want to effortlessly pull together projects, documents, & apps in one place","https://workona.com/","undefined","","","","","","","","","$6.0","Not Complete","0","0"
"Station","One app to rule them all: the first smart browser for busy people. A single place for all of your web applications","https://getstation.com/","undefined","","","","","","","","","$3.6","Not Complete","0","0"
"Slapdash","The "operating system" for work: brings all your apps together to let you find, organize and do things in seconds, not minutes.","https://slapdash.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Onlim","Conversational AI platform that lets you build chatbots & voice assistants relying on your company's knowledge platform","https://onlim.com/en/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Veamly","Centralizes all your work in one place, bringing all your collaboration apps in one desktop app and all your conversations in a main feed with a unified search","https://veamly.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Command E","The faster way to navigate your workspace: an easy keyboard shortcut to open any document, contact, file or record from the cloud","https://getcommande.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Qatalog","Working with many teams and tools can get noisy. Qatalog joins everything up and makes it easier to find things, keep people updated, and see the full picture","https://qatalog.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"fyi","Find your documents in 3 clicks or less. Across time zones, teams and tools","https://usefyi.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Monday","A Work Operative System, where teams create and shape workflow apps, code free - to run any process and project","https://monday.com/","undefined","","","","","","","","","$234.1","Not Complete","0","0"
"Asana","Work management platform that helps teams orchestrate their work, from daily tasks to strategic initiatives","https://asana.com/","undefined","","","","","","","","","$213.4","Not Complete","0","0"
"Mavenlink","Helps services firms establish an operational system of record that facilitates their business lifecycle, including key capabilities like resource mgmt & project mgmt","https://www.mavenlink.com/","undefined","","","","","","","","","$111.5","Not Complete","0","0"
"productboard","Helping product teams get the right products to market, faster. Understand what users really need, prioritize what to build next etc.","www.productboard.com","undefined","","","","","","","","","$64.7","Not Complete","0","0"
"Hive","The productivity platform to work from anywhere. integrates with thousands of applications to make it easier than ever to connect all your work in one place","https://hive.com/","undefined","","","","","","","","","$16.0","Not Complete","0","0"
"Unito","Automatically synchronizes your projects, tasks and conversations between different work management tools","https://unito.io/","undefined","","","","","","","","","$12.9","Not Complete","0","0"
"Forecast","Automate work across portfolio and people: project and resource management platform that automates and improves your financial & operational performance","https://www.forecast.app/","undefined","","","","","","","","","$9.7","Not Complete","0","0"
"Any.do","All-in-one productivity solution, combining calendar, tasks, lists, reminders and a an assistant that tackles your to-do's for you. With real-time sync across devices","https://www.any.do/","undefined","","","","","","","","","$6.0","Not Complete","0","0"
"Taskade","Real-time organization and collaboration tool for distributed teams. Chat, write, and get work done on the same page
","https://www.taskade.com/","undefined","","","","","","","","","$5.2","Not Complete","0","0"
"Parabol","After a virtual meeting ends, the attendees can give anonymous feedback on how effective the meeting was, as well as discuss next steps.","https://www.parabol.co/","undefined","","","","","","","","","$4.9","Not Complete","0","0"
"Linear","Workflow software that helps developers streamline their projects, tasks, and bug-tracking, to help them work faster and more efficiently","https://linear.app/","undefined","","","","","","","","","$4.2","Not Complete","0","0"
"Sunsama","The daily task manager for elite professionals. Organize everything you need to do today in one place. Tasks, meetings, Jira tickets, you name it","https://sunsama.com/","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Modern Village","(Slightly off-topic but not really) Superhuman for households: helps working parents automate and organize hundreds of family-related tasks","https://www.modernvillage.com/","undefined","","","","","","","","","$0.2","Not Complete","0","0"
"Doist (Todoist)","Through its product Todoist, Doist keeps track of your tasks, projects, & goals in one simple place. It syncs across all your devices and integrates with your apps","https://doist.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Basecamp","A private, secure space online where people working together can organize and discuss","https://basecamp.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Cycle","All-in-one tool dedicated to product-centric teams: horizontal platform made of flexible building blocks that you can use in customizable workflows","https://cycle.app/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Aha!","Product roadmap and marketing planning software: set brilliant strategy, capture customer ideas, create visual roadmaps, and manage marketing programs","https://www.aha.io/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Paymo","Helps you manage projects, team schedules, track work time, and invoice clients - all from the same platform","https://www.paymoapp.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"InVisionApp","Design collaboration platform that helps you research, design, review, and test products, offers tools for prototyping, task management, version control etc.","https://www.invisionapp.com/","undefined","","","","","","","","","$350.2","Not Complete","0","0"
"Canva","Collaborative interface design tool that enables the entire team’s design process to happen in one online tool.","https://www.canva.com/","undefined","","","","","","","","","$241.6","Not Complete","0","0"
"Figma","Helps web design teams create, test, and ship designs from its cloud-based software, allowing them to work on designs in tandem, Google Docs style","https://www.figma.com/","undefined","","","","","","","","","$82.9","Not Complete","0","0"
"Frame.io","Streamline your video review and collaboration process with teammates, clients and a variety of stakeholders. It supercharges post-production workflows","https://frame.io/","undefined","","","","","","","","","$82.2","Not Complete","0","0"
"Abstract","Design and workflow platform that helps designers work together. Builds upon and extends the stable technology of Git to host and manage your work","https://www.abstract.com/","undefined","","","","","","","","","$54.2","Not Complete","0","0"
"Pitch","Next generation of content collaboration and presentation software which enables anyone to easily develop and share beautiful presentations","https://pitch.com/","undefined","","","","","","","","","$52.7","Not Complete","0","0"
"Framer","Tool to design interactive high-fidelity prototypes for iOS, Android, desktop, or the web. Enables users to turn static mockups into interactive prototypes","https://www.framer.com/","undefined","","","","","","","","","$33.0","Not Complete","0","0"
"Miro","Whiteboard platform for distributed teams, helping companies work in real-time or asynchronously on an infinite canvas for product development, design & more","https://miro.com/","undefined","","","","","","","","","$26.3","Not Complete","0","0"
"Mural","Digital workspace for visual collaboration. Enables innovative teams to think and collaborate visually to solve important problems together","https://mural.co/","undefined","","","","","","","","","$24.3","Not Complete","0","0"
"Projector","Helps you craft your story. From live presentations to Instagram stories, gives you the creative power to captivate an audience; no design skills required","https://projector.com/home/","undefined","","","","","","","","","$9.0","Not Complete","0","0"
"Rive","Tools that allow designers and developers to easily add high-quality real-time animation to their apps and games","https://rive.app/","undefined","","","","","","","","","$4.0","Not Complete","0","0"
"Ludus","Presentation tool platform for content creation and sharing, which gathers the best of the web in a simple and intuitive tool for everyone","https://ludus.one/","undefined","","","","","","","","","$0.6","Not Complete","0","0"
"Snackthis","Figma for Motion Design (most critical skill designers want to learn to stay relevant in the next 2–3 years (top priority for 33% of them))","https://snackthis.co/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Moqups","Visual collaboration tool that combines whiteboard, diagram, and design features in a single, online app","https://moqups.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"tray.io","Allows you to quickly integrate your software applications using automated workflows. Build & streamline processes using a simple visual workflow editor","https://tray.io/","undefined","","","","","","","","","$109.1","Not Complete","0","0"
"Workato","Integrate your apps and automate complex business workflows with security and governance. Create powerful integrations between cloud apps in minutes","https://www.workato.com/","undefined","","","","","","","","","$105.0","Not Complete","0","0"
"Webflow","Allows users to design, build, and launch responsive websites visually, while writing clean, semantic code","https://webflow.com/","undefined","","","","","","","","","$74.9","Not Complete","0","0"
"Pipefy","Cloud-based business process management platform that empowers managers to build and execute any type of workflow through a Kanban-style interface","https://www.pipefy.com/","undefined","","","","","","","","","$63.7","Not Complete","0","0"
"Dropsource","Visual development platform for creating powerful, data-driven, and truly native iOS and Android apps without writing any code
","https://www.dropsource.com/","undefined","","","","","","","","","$10.9","Not Complete","0","0"
"DashDash","Spreadsheet that gives you access to business data and APIs. You can find and enrich companies and people, track stock prices, send emails, and more","https://dashdash.com/","undefined","","","","","","","","","$9.0","Not Complete","0","0"
"Internal","Helps companies resolve customer issues through a no-code software that instantly connects the company’s data in useful ways while protecting privacy","https://www.internal.io/","undefined","","","","","","","","","$5.0","Not Complete","0","0"
"Glide","Enables users to create mobile apps from Google Sheets","https://www.glideapps.com/","undefined","","","","","","","","","$3.8","Not Complete","0","0"
"Thunkable","Makes a drag-and-drop programming tool to allow anyone to make beautiful, native mobile apps","https://thunkable.com/","undefined","","","","","","","","","$3.4","Not Complete","0","0"
"Draftbit","New way to build cross-platform, native iOS and Android apps in minutes instead of months","https://draftbit.com/","undefined","","","","","","","","","$1.6","Not Complete","0","0"
"n8n","“Fair code” workflow automation platform to let developers quickly integrate any of the apps that they use to work together automatically","https://n8n.io/","undefined","","","","","","","","","$1.5","Not Complete","0","0"
"Zapier","Zapier connects all of your business systems, letting teams build custom work ows with no coding at all","https://zapier.com/home","undefined","","","","","","","","","$1.3","Not Complete","0","0"
"Scapic","Platform for building VR/AR content easily. Drag-and-drop editor that makes it simple to build immersive experiences from scratch in minutes","https://scapic.com/","undefined","","","","","","","","","$0.5","Not Complete","0","0"
"Retool","Cuts the time it takes to build internal tools in half so you can focus on what matters","https://retool.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"WorkOS","Your app, enterprise-ready. Start selling to enterprise customers with just a few lines of code. Add Single Sign-On (SSO) to your app for free","https://workos.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Gusto","Cloud-based payroll, benefits, and human resource management solution for businesses","https://gusto.com/","undefined","","","","","","","","","$516.1","Not Complete","0","0"
"Carta","Simplifies & automates equity / cap table management, fundraising admin and more","https://carta.com/","undefined","","","","","","","","","$447.8","Not Complete","0","0"
"Moveworks","Cloud-based AI platform purpose-built for large enterprises that resolves employees'​ IT support issues","https://www.moveworks.com/","undefined","","","","","","","","","$105.0","Not Complete","0","0"
"Payfit","Integrated payroll and HR management software; automates everything from RTI submissions and payslips to employee leaves and expenses","https://payfit.com/","undefined","","","","","","","","","$101.1","Not Complete","0","0"
"Pilot","Bookkeeping company focused on startups","https://pilot.com/","undefined","","","","","","","","","$58.3","Not Complete","0","0"
"Rippling","One Modern System for HR & IT — From Payroll and Benefits, to Employee Computers and Apps","https://www.rippling.com/","undefined","","","","","","","","","$52.0","Not Complete","0","0"
"HyperScience","Automates manual document processing for global financial services, insurance, healthcare, and government organizations","https://www.hyperscience.com/","undefined","","","","","","","","","$48.9","Not Complete","0","0"
"Ultimate.ai","Multilingual Customer Service Automation platform that gives customer service agents the AI tools they need to provide faster, smarter responses","https://www.ultimate.ai/","undefined","","","","","","","","","$39.9","Not Complete","0","0"
"Gorgias","Helpdesk which makes support agents 2x more efficient. It automatically suggests how to solve support request","https://www.gorgias.com/","undefined","","","","","","","","","$17.4","Not Complete","0","0"
"Digits","Building the most advanced, yet easiest to use financial software for businesses","https://digits.com/","undefined","","","","","","","","","$10.5","Not Complete","0","0"
"Seedlegals","Simplifies & automates equity / cap table management, fundraising admin and more","https://seedlegals.com/","undefined","","","","","","","","","$5.3","Not Complete","0","0"
"Pento","Run your payroll in 1 click: calculates taxes, handles all the payments and reports to tax collection & pension providers","https://www.pento.io/","undefined","","","","","","","","","$3.5","Not Complete","0","0"
"Factorial","Human resources software platform for small and medium companies that integrates vacation management and more","https://factorialhr.com/","undefined","","","","","","","","","$3.3","Not Complete","0","0"
"Klaus","Conversation review tool that improves customer service quality by making internal feedback easy and systematic","https://www.klausapp.com/","undefined","","","","","","","","","$1.9","Not Complete","0","0"
"Gaspardesk","Conversational AI platform that helps companies auto-resolve their repetitive employee IT support requests","https://www.gaspardesk.com/","undefined","","","","","","","","","$0.7","Not Complete","0","0"
"Sora","HR automation for growing companies: automate and personalize employee onboarding, offboarding, and all the key moments in between","www.sora.co","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Back","Organizes & automates all of your employee requests on one intuitive platform","https://backhq.com/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Zira","Automating flexible scheduling, communication and performance tracking for employees","https://zira.ai/","undefined","","","","","","","","Unfunded","$0.0","Not Complete","0","0"
"Papaya","Global HRIS that transforms global payroll, payments, and workforce management","https://papayaglobal.com/","undefined","","","","","","","","","$49.5","Not Complete","0","0"
"Deel","Payroll service for businesses working with remote contractors. Handles contracts, payments, taxes in one place, and takes the hassle out of compliance","https://www.letsdeel.com/","undefined","","","","","","","","","$18.0","Not Complete","0","0"
"Remote","Employ anyone, regardless of where they live. Payroll, benefits, compliance, taxes, and everything else","remote.com","undefined","","","","","","","","","$11.0","Not Complete","0","0"
"Oyster","Software-based employment platform designed to fix the broken international hiring model.","https://www.oysterhr.com/","undefined","","","","","","","","","$4.2","Not Complete","0","0"
"Humaans","The fastest way to onboard and manage your staff: a next-gen, remote and distributed team friendly HRIS","https://humaans.io/","undefined","","","","","","","","","$5.0","Not Complete","0","0"
"Beyond","Helps startups build and staff up satellite offices in new locations, outside of big tech hubs","https://beyondhq.co/","undefined","","","","","","","","","$1.9","Not Complete","0","0"
"Boundless","Makes it easy to handle multi-country payroll, and comply with local tax and employment laws","https://www.boundlesshq.com/","undefined","","","","","","","","","$0.8","Not Complete","0","0"
"Localyze","Solution for relocation management: supports throughout the whole relocation process covering everything from visa to social integration","https://www.localyze.de/","undefined","","","","","","","","","$0.2","Not Complete","0","0"
